timestamp,open,high,low,close,volume
2024-12-23T01:12:00Z,3240.80000000,3245.13000000,3237.50000000,3238.46000000,435.24470000
2024-12-23T01:13:00Z,3238.45000000,3239.53000000,3233.40000000,3237.76000000,576.38840000
2024-12-23T01:14:00Z,3237.76000000,3242.31000000,3236.18000000,3238.06000000,305.61450000
2024-12-23T01:15:00Z,3238.06000000,3238.07000000,3232.42000000,3234.55000000,407.33510000
2024-12-23T01:16:00Z,3234.54000000,3236.00000000,3229.37000000,3230.51000000,440.59930000
2024-12-23T01:17:00Z,3230.51000000,3231.91000000,3224.72000000,3228.98000000,632.95010000
2024-12-23T01:18:00Z,3228.99000000,3230.07000000,3225.00000000,3227.14000000,507.74750000
2024-12-23T01:19:00Z,3227.01000000,3227.01000000,3222.38000000,3223.38000000,538.04470000
2024-12-23T01:20:00Z,3223.38000000,3226.50000000,3219.11000000,3221.21000000,680.05100000
2024-12-23T01:21:00Z,3221.21000000,3231.48000000,3216.97000000,3230.48000000,745.33950000
2024-12-23T01:22:00Z,3230.47000000,3235.27000000,3227.43000000,3231.73000000,745.63340000
2024-12-23T01:23:00Z,3231.73000000,3236.45000000,3230.86000000,3232.64000000,731.86510000
2024-12-23T01:24:00Z,3232.63000000,3234.46000000,3228.62000000,3229.51000000,396.08490000
2024-12-23T01:25:00Z,3229.51000000,3232.00000000,3225.01000000,3231.99000000,634.02080000
2024-12-23T01:26:00Z,3232.00000000,3236.46000000,3225.91000000,3230.79000000,556.32990000
2024-12-23T01:27:00Z,3230.79000000,3236.59000000,3230.20000000,3233.26000000,477.39560000
2024-12-23T01:28:00Z,3233.26000000,3240.69000000,3233.26000000,3240.68000000,401.67350000
2024-12-23T01:29:00Z,3240.69000000,3253.13000000,3240.68000000,3252.01000000,664.20980000
2024-12-23T01:30:00Z,3252.00000000,3263.45000000,3252.00000000,3259.81000000,907.07490000
2024-12-23T01:31:00Z,3259.81000000,3266.29000000,3259.81000000,3265.37000000,378.38760000
2024-12-23T01:32:00Z,3265.37000000,3275.60000000,3265.01000000,3269.69000000,512.93200000
2024-12-23T01:33:00Z,3269.68000000,3277.89000000,3269.10000000,3274.33000000,761.69760000
2024-12-23T01:34:00Z,3274.33000000,3276.73000000,3269.07000000,3270.99000000,417.53970000
2024-12-23T01:35:00Z,3270.99000000,3285.96000000,3268.98000000,3284.91000000,1790.45660000
2024-12-23T01:36:00Z,3284.91000000,3293.93000000,3283.09000000,3293.02000000,1153.99150000
2024-12-23T01:37:00Z,3293.02000000,3296.24000000,3288.09000000,3289.41000000,758.74740000
2024-12-23T01:38:00Z,3289.40000000,3291.57000000,3286.50000000,3289.68000000,615.75080000
2024-12-23T01:39:00Z,3289.67000000,3294.00000000,3286.78000000,3293.83000000,406.15970000
2024-12-23T01:40:00Z,3293.84000000,3297.60000000,3293.84000000,3296.28000000,435.88620000
2024-12-23T01:41:00Z,3296.15000000,3296.89000000,3290.00000000,3293.61000000,272.72640000
2024-12-23T01:42:00Z,3293.61000000,3293.61000000,3286.89000000,3286.89000000,257.43640000
2024-12-23T01:43:00Z,3286.90000000,3287.37000000,3279.40000000,3279.40000000,511.78040000
2024-12-23T01:44:00Z,3279.29000000,3283.37000000,3278.00000000,3280.81000000,167.56450000
2024-12-23T01:45:00Z,3280.81000000,3283.99000000,3279.26000000,3283.37000000,236.30350000
2024-12-23T01:46:00Z,3283.37000000,3284.46000000,3277.57000000,3279.85000000,237.53390000
2024-12-23T01:47:00Z,3279.85000000,3290.85000000,3279.39000000,3288.40000000,297.07860000
2024-12-23T01:48:00Z,3288.49000000,3288.49000000,3279.55000000,3279.55000000,166.03390000
2024-12-23T01:49:00Z,3279.54000000,3279.55000000,3272.54000000,3272.63000000,220.16920000
